cell;C1;C2;C3;row_letter;col_number
A1;5,080282149;-3,340742918;3,107336622;A;1
B4;3,614496733;0,741280216;0,017964363;B;4
B5;4,378334333;0,033796192;0,303658052;B;5
B6;5,839583173;-1,598041986;1,125984353;B;6
C1;5,640984894;-2,622596629;1,790144475;C;1
C2;6,215006973;-1,365777722;0,890709559;C;2
C3;5,203728116;-0,527323786;0,669967497;C;3
C4;6,570730343;-38,31345958;101,6484524;C;4
C5;4,182993272;0,079189483;0,473190495;C;5
C6;6,46730045;-4,108719881;2,578736454;C;6
D1;6,531805044;-3,279008867;2,055200146;D;1
A2;5,900215052;-2,787505939;2,046085018;A;2
D2;6,486694592;-1,463831841;0,883287182;D;2
D3;6,186443492;-1,450233294;1,111061091;D;3
D4;4,791751703;-0,48178664;0,964890854;D;4
D5;4,743896526;-0,068018301;0,392305398;D;5
D6;6,425557665;-3,354001759;2,135601289;D;6
E1;6,598667767;-3,823426515;2,379888073;E;1
E2;6,281343342;-2,420922872;2,265511209;E;2
E3;6,520136313;-1,610171148;1,195101105;E;3
E4;6,20620441;-1,414940772;1,221162041;E;4
E5;5,305029519;-0,461682992;0,538833527;E;5
A3;5,687334134;-2,538088499;1,898284518;A;3
E6;5,932508227;-2,927747571;1,946808818;E;6
F1;6,130827694;-3,186183982;2,117067049;F;1
F2;5,556183778;-0,79029923;0,615545494;F;2
F3;5,863167465;-1,09400776;0,914339777;F;3
F4;5,264601952;-0,586666372;0,753143017;F;4
F5;6,361283292;-14,04491828;28,01683828;F;5
F6;6,102488882;-3,497369174;2,227320308;F;6
G1;4,875509683;-2,174092672;1,398157328;G;1
G2;3,784188561;0,247800636;0,345939264;G;2
G3;4,241495098;0,324458704;0,204131194;G;3
A4;4,615726724;-1,768081137;1,49204501;A;4
G4;4,471705387;0,382676834;0,130805667;G;4
G5;4,412164369;0,003280969;0,669087638;G;5
G6;6,373628658;-4,054140942;2,516647303;G;6
H1;3,335852;-0,500624244;0,702883567;H;1
H2;5,209629345;-45,56424539;228,2163466;H;2
H3;3,878339907;0,088679468;0,472103771;H;3
H4;4,826021315;-0,159414787;0,344569104;H;4
H5;5,57102581;-0,867438008;0,64731546;H;5
H6;6,908270405;-4,061386957;2,543079977;H;6
I1;2,657462023;-1,743400399;1,638837485;I;1
A5;6,718415164;-0,480973475;-0,150805059;A;5
I2;2,96020915;-0,649858755;0,959992456;I;2
I3;4,649334709;0,41578957;-0,505764564;I;3
I4;6,408825738;0,540901435;-1,305559357;I;4
I5;6,137041338;-3,157019902;1,991688269;I;5
I6;4,388419845;-3,486731778;3,343116094;I;6
A6;7,659154836;1,239575168;-1,635347959;A;6
B1;5,966355484;-10,56282358;12,70523589;B;1
B2;6,08659104;-1,51981981;1,133318189;B;2
B3;5,105620066;-0,622580672;0,615340513;B;3
